40.5,-154.5,-107
56.5,-137,-107
31.5,-237.5,-108
92,-237,-117
119.5,-185.5,-98
76,-179.5,-106
54,-84.5,-148
70.5,-44,-140
81,-44.5,-131
30.5,-17.5,-126
55,-38.5,-125
64,-93.5,-124
58.5,-114.5,-123
89.5,-6,-127
12.5,-80,-135
116.5,-71,-139
115,-7.5,-117
40.5,-24,-106
24,-111.5,-100
-10.5,-129,-99
20.5,-82,-98
158,-56,-145
198,-49,-138
219.5,-115.5,-134
205,-65,-117
197,-19.5,-126
210.5,-22.5,-125
121.5,-31.5,-117
115,-61.5,-116
153,-51.5,-99
217.5,-19.5,-99
209.5,-42,-99
186.5,12,-97
112,-80.5,-100
128,-78,-87
93.5,-48.5,-92
205.5,-63,-101
-105,62,-227
-173.5,81.5,-226
-148.5,49,-227
-214.5,63.5,-224
-198,100,-224
-232.5,41,-225
-243.5,70,-221
-243,50,-221
-172,56,-220
-143,79.5,-216
-149.5,30,-215
-120.5,21.5,-216
-196.5,10.5,-215
-227.5,8.5,-213
-118.5,106.5,-219
-169,110,-225
-202.5,28,-203
-180,72.5,-193
-166,42.5,-187
-198,25.5,-187
-207.5,56.5,-185
-200.5,44.5,-189
-227.5,78,-184
-190.5,88,-185
-154.5,97,-182
-124.5,33,-178
-220,38,-171
-154.5,94,-171
-167,102.5,-175
-206,97.5,-179
-167.5,114.5,-172
-149,66,-159
-245,40,-159
-237,99.5,-160
-243,80,-157
-210,89,-156
-170,71,-158
-160.5,70,-153
-215.5,47.5,-147
-169,49.5,-141
-145,44,-131
-174,65.5,-147
-180.5,105,-153
-144,107.5,-145
-143.5,86,-146
-240.5,64.5,-133
-155,36.5,-126
-174,23.5,-125
-213,58,-121
-239,48,-118
-215.5,34,-117
-169,53,-113
-158,51,-118
-157,28,-118
-126,26,-115
-193,17,-120
-184,16,-116
-150,88.5,-111
-132.5,68,-102
-144,49,-92
-221.5,103.5,-120
-179.5,35.5,-97
-173.5,82,-92
-219,58,-109
-202,21.5,-99
-193.5,43,-82
-237,43.5,-83
-193.5,104.5,-78
-133.5,105.5,-80
-130.5,76.5,-67
-126,67.5,-70
-168.5,58,-70
-55.5,-4,-226
-72,83,-226
-58.5,76.5,-214
-47.5,104.5,-217
-109.5,46.5,-203
-66.5,78,-196
-49.5,32.5,-184
15,40.5,-186
-90,43.5,-177
-86.5,96.5,-191
-84.5,138.5,-193
1,36.5,-167
-62,67,-158
-56,79.5,-157
-77,40,-160
-81.5,68,-154
-70.5,53,-149
-89.5,99,-144
-101,22.5,-135
-73.5,74.5,-120
-81,44.5,-117
-99.5,105.5,-119
-58,99,-111
-48,58,-111
-74.5,57,-117
-58,39.5,-107
-32,47.5,-100
-16.5,24,-95
-82,63,-101
-82.5,32.5,-99
-27,76.5,-105
-32.5,89,-105
-47,116.5,-97
-79.5,111.5,-93
-37,75,-87
-48.5,37,-86
-39.5,113,-88
6.5,128.5,-155
-28,111,-132
-88.5,109,-136
-33,133.5,-225
-58,173,-233
-113.5,109.5,-231
-94.5,206,-225
-51.5,201,-226
-91,239.5,-228
-98,197,-223
-92.5,184.5,-225
-62,220,-214
-92.5,132,-201
-82.5,157.5,-192
-113,170.5,-186
-78,180.5,-183
-27,149,-176
-87.5,190,-170
-67,249.5,-176
-25,245,-175
-51.5,146.5,-159
-33,127,-162
-97.5,202.5,-160
-49,160.5,-183
-94,183,-145
-38,224.5,-145
-10.5,258,-141
-39,162,-140
-112.5,131,-139
-91.5,178.5,-135
-73.5,195.5,-127
-48.5,147.5,-119
13,240.5,-113
-89,218.5,-113
-87,242,-113
-97.5,259,-113
-87.5,186,-103
-79,193,-98
-50,212.5,-100
-36,157,-99
-71,228.5,-84
-33.5,220,-84
-114.5,155,-85
-56,162,-75
-108.5,211,-76
-77,164.5,-126
-84,142.5,-128
-103,146.5,-131
-114.5,150,-228
-134,209,-228
-123.5,207,-222
-138,132,-221
-138,132,-221
-172,138,-224
-149.5,248.5,-219
-189.5,202.5,-222
-230,210.5,-219
-239.5,159,-220
-224.5,180.5,-212
-235,238.5,-210
-235,198,-208
-168,250,-207
-178.5,189.5,-204
-173.5,160.5,-202
-171,146,-199
-132,214.5,-198
-166.5,142.5,-192
-108,161.5,-185
-128,210.5,-183
-144.5,249.5,-185
-214,218.5,-179
-232,199.5,-182
-189,127,-185
-223.5,153,-186
-192,148,-171
-179.5,125.5,-165
-142.5,129,-168
-161.5,242,-156
-195,203,-156
-184,179.5,-155
-203.5,242,-151
-210,218.5,-150
-239.5,144,-159
-136,208.5,-160
-141,139.5,-152
-170,160,-148
-178,197.5,-142
-144,190,-140
-159,256,-144
-200.5,120.5,-148
-245,168,-135
-241,217,-134
-115,192.5,-129
-168.5,244,-128
-165.5,219.5,-121
-150.5,254.5,-119
-243.5,174.5,-118
-244,144.5,-118
-145,189,-119
-136.5,175.5,-115
-166,165.5,-119
-199,132,-121
-151,114.5,-120
-118,213.5,-126
-109.5,245,-119
-204,148,-112
-183,230.5,-108
-234,246.5,-108
-238,206,-104
-231,176,-102
-220,197.5,-96
-126.5,182,-104
-148.5,171,-98
-164,128.5,-102
-141,145.5,-100
-206.5,114.5,-104
